label_id,council_districts,method,matched
2e2a869e0879,6,park,Verdi Square
36dd86e59cbc,6|7,park,Riverside Park
ae4554109a4f,6|7,park,Riverside Park
ed41e8976503,6,park,Central Park
4b21bbdc8993,6|7,park,Riverside Park
ae36bb5bf18e,6,park,Central Park
c7c2995bd607,6,park,Riverside Park South
eba7f011006a,6,park,Theodore Roosevelt Park
6c977cfc37cf,7,park,Frederick Douglass Playground
917191bfb74a,5,park,Andrew Haswell Green Park
6af8877ece8c,5,park,Andrew Haswell Green Park
9b631dcf0620,7,park,West Harlem Piers
47895f6582c5,9,park,St. Nicholas Park
b0764cbd4a85,7,park,Alexander Hamilton Playground
421c20a94326,7,park,Annunciation Playground
c3140a5faf1a,7,park,Morningside Park
847e5ab7c3cd,7,park,Riverside Park
1ac2ff50e2bb,7,park,Riverside Park
d18455559606,7,park,Riverside Park
97e5f8bd74bf,9,park,Renaissance Playground
9386979786a6,9,park,Hansborough Recreation Center
08f22f0ac485,9,park,St. Nicholas Playground South
14ee9e34f7ec,9,park,William McCray Playground
6e635be17738,9,park,Jackie Robinson Park
742a7eff3b84,8,park,Thomas Jefferson Park
42373bab014a,9,park,Marcus Garvey Park
53cf1a1518e1,9,park,Marcus Garvey Park
cdbf2f28f8c5,8,park,Peter Minuit Playground
0b6ad2deac5c,8,park,P.S. 155 Playground
5b9f318dd8db,8,park,Harlem Art Park
d5def886f385,8,park,Peter Minuit Playground
71e97046e950,9,park,Marcus Garvey Park
e2299a1112cf,9,park,Marcus Garvey Park
1f4216234918,10,park,Isham Park
143f1ec4bef8,10,park,Highbridge Park
24001610e31b,10,park,Highbridge Park
c33a4c81f759,10,park,Inwood Hill Park
739d882774ac,10,park,Inwood Hill Park
1c60e7d7bbc8,8,park,St. Mary's Park
533a49ec7022,15,park,Crotona Park
efa324aa070d,16,park,Claremont Park
538a68b20df9,16,park,Macombs Dam Park
9edf36a164f9,16,park,Franz Sigel Park
d1e139f6af55,16,park,Franz Sigel Park
163d46564b0f,15,park,Bathgate Playground
14a0ce60ec3e,15,park,Quarry Ballfields
b5c98051555e,15,park,Bronx Park
7e23c91b23a0,15,park,Ciccarone Park
d64123a01677,11,park,Mosholu Parkway
2cc417b1d9df,11,park,Williamsbridge Oval
539be800b228,11,park,Williamsbridge Oval
b693a10000bf,11,park,Williamsbridge Oval
ec0eacd765fc,11,park,Williamsbridge Oval
6248167e428b,11,park,Williamsbridge Oval
482bbd41004a,11,park,Mosholu Parkway
6e28050430ca,14,park,Devoe Park
7fa4c5f6ffbf,14,park,Devoe Park
3a4f36a9045a,11,park,Mosholu Parkway
